"process_code","average_change","std"
"UCO","-292.2000000000000000","326.806670678553"
"ENDJ","-204923.200000000000","375102.81384960"
"LAK1","-78245.440000000000","234301.71253110"
"DNMZ","5053.8788209606986900","105744.70478702"
"TSG8","13808.333333333333","261181.55117105"
"TKS","0.00000000000000000000",NULL
"PGLB","8638.1626016260162602","224753.92344380"
"DNLZ","-6840.8076923076923077","11651.11166548"
"HE70","4598.6666666666666667","7141.280732473693"
"MDV1","-20.0000000000000000","21.2132034355964257"
"HE10","50557.046511627907","172281.28667026"
"LAP3","2760.8615384615384615","134757.01072311"
"B1BA","12326.142857142857","40187.92010702"
"YPS6","196868.000000000000","342488.49538148"
"WJA1","-14.0958904109589041","304.504614286493"
"IHT4","21348.041666666667","35822.13215553"
"JGB2","-176248.636363636364","303697.72564551"
"TSB2","5850.2083333333333333","13959.10930402"
"L4","-32.0039525691699605","84181.19414722"
"JDNZ","-3354.8526785714285714","102858.01274983"
"M3","4278.9705093833780161","58596.93395055"
"WDNZ","-2429.1541155866900175","79207.24501075"
"YPS4","37753.546099290780","118918.62671757"
"D62H","-83518.725714285714","245024.99508946"
"NDA3","-7525.2173913043478261","273123.15814854"
"MG","28927.857142857143","146699.73190078"
"TU","-464831.025157232704","1048197.92790664"
"WCX2","2656.2857142857142857","11988.71819304"
"SRMN","21212.966666666667","143029.62238774"
"TSC2","-49896.673469387755","192529.83444330"
"MMTF","-308.0000000000000000","434.163563648540"
"MMR1","5175.3684210526315789","15867.36725005"
"LAY1","-9288.2812500000000000","124874.81682482"
"CDU1","2163.5000000000000000","4893.711781459958"
"C100","-71559.357142857143","198356.45306080"
"MMJ7","-237.0000000000000000",NULL
"SJKZ","-110829.666666666667","46434.98238756"
"MLG2","-356.0384615384615385","203839.96007760"
"GIK4","51753.661904761905","153560.49027366"
"TDUX","135.0000000000000000",NULL
"SZF","-6200.8333333333333333","112687.59860939"
"TKY3","9978.8000000000000000","179134.71114276"
"MMG2","3126.2180579216354344","98611.96297010"
"F2AA","54890.258907363420","192107.53069113"
"MMQ1","8384.0000000000000000","26931.69411172"
"PGM1","77977.500000000000","229430.56441026"
"MC1M","36774.820512820513","165840.80103646"
"AYT7","-474.1111111111111111","5060.841319495318"
"F3BB","588.6315789473684211","6108.283321400778"
"HE51","30008.000000000000",NULL
"TDY1","-941.2894736842105263","7987.953304509318"
"WJS5","46142.637681159420","156069.87438814"
"C4AF","-17428.852941176471","121205.63047856"
"WDNJ","-26894.033158813264","119634.64465487"
"SN50","-20365.937944664032","109300.46355356"
"SN20","-46084.356521739130","190582.47586710"
"COU1","-1849.7692307692307692","12020.11076733"
"MDNJ","-24291.733459357278","122792.98253244"
"M2","5046.9723926380368098","47790.02958063"
"C4AD","3103.4285714285714286","4779.242124617070"
"F3BA","-5487.2857142857142857","15884.50315784"
"GTU6","39309.000000000000","0"
"JGB1","2107.8823529411764706","7339.879408770564"
"CO10","7992.8230277185501066","88880.25961111"
"MCKZ","-75022.947368421053","233631.18607314"
"A1CA","-27106.571428571429","69483.66383512"
"AHTR","-405904.666666666667","549583.85134113"
"MG1","12900.800947867299","125113.82546122"
"WN10","9280.0000000000000000",NULL
"ST","-929416.000000000000",NULL
"F4BE","19317.0000000000000000",NULL
"LPSM","409.0000000000000000","196.822254839233"
"HE60","120186.000000000000",NULL
"CDU4","3281.3333333333333333","5843.674044069650"
"FIT1","2091.0106951871657754","132823.06347438"
"GFM2","951.2857142857142857","3636.929781848316"
"TSG1","29924.375000000000","137709.77925163"
"MMJ6","63453.285714285714","200979.93817693"
"MMT7","10531.430555555556","68724.05996450"
"ZAX1","-17422.142857142857","33946.41096582"
"TS30","-758.1282722513089005","94412.78389526"
"MC2M","19756.166666666667","44253.37190505"
"MCTA","-272928.585585585586","429795.38612832"
"PH02","-29.0000000000000000","9996.500037513130"
"LB3","3904.2307692307692308","85066.33333180"
"B3CB","19643.0000000000000000",NULL
"MMJ5","1798.8000000000000000","508717.49726464"
"MCKS","61382.200000000000","302915.06129839"
"COX1","-1053.4545454545454545","9501.132315294176"
"GIK6","9411.7272727272727273","18799.13520400"
"SN30","-50150.581997533909","198715.50405386"
"ASZ","13476.661971830986","169487.62582332"
"MMX4","9878.0000000000000000","11933.68543242"
"TDN2","10329.413043478261","11056.80718949"
"FIPN","3030.6666666666666667","5413.814305398120"
"LDNJ","-23723.744094488189","107554.89173619"
"WCM3","3580.6645962732919255","93332.88691774"
"LPGF","14712.5000000000000000","20693.47995142"
"DNMJ","-29594.385290889133","159626.33966488"
"TK3","5092.0000000000000000","6494.068678417252"
"EXTD","7760.6153846153846154","23168.51552049"
"PH01","6001.0000000000000000","11502.58853476"
"TSM7","-79124.369369369369","358476.57683896"
"WCL9","3515.8750000000000000","7193.305447974328"
"L5","-9987.2305389221556886","80054.27908184"
"TKB","23546.247422680412","130211.55297184"
"PIKA","-14371.694444444444","84442.02652652"
"MLG3","4123.8055555555555556","8107.455196367792"
"NDC1","51584.272727272727","258416.89479099"
"TST1","-5173.2318840579710145","108608.86703043"
"DNTJ","-10210.641221374046","69585.37475052"
"HE50","19585.569230769231","101171.55197809"
"LPS3","-24838.000000000000","35055.52578410"
"HE21","12054.200000000000","14826.24305750"
"NDA5","-266143.272727272727","430623.66503273"
"ST2","-539.0000000000000000",NULL
"C3AB","-645.5846153846153846","4919.556979203983"
"ZZTH","-25472.000000000000","1194809.64187941"
"NAN","15481.375000000000","104235.69821703"
"NDA4","-40898.692307692308","39204.21391123"
"F7AA","-22167.668639053254","149036.41769367"
"WJA2","-9338.0000000000000000",NULL
"LAH","-43649.333333333333","66881.10508457"
"WJS4","82199.960526315789","203138.20750287"
"MMJ1","9150.9048780487804878","127200.25537671"
"TKLM","91303.692449355433","229011.62867332"
"TDUC","19891.581250000000","72441.61160101"
"D61H","-132388.666666666667","353938.82665052"
"ASFN","45.6000000000000000","191.590187640182"
"CBT4","5372.8000000000000000","5321.854958564730"
"KOLG","8633.5555555555555556","12458.92513533"
"EAS0","10079.829959514170","167819.42287833"
"TSC5","-15.5000000000000000","122.3294731452727217"
"DSD3","13795.696969696970","85910.65461781"
"IGY0","332.9333333333333333","189180.05811887"
"HE31","4083.6000000000000000","5468.690592820186"
"H1AF","108068.604166666667","246690.19366712"
"D61F","-5306.8461538461538462","256030.39753355"
"K4AA","-51.7857142857142857","282.048326075086"
"A1AA","-20853.200000000000","57721.44734999"
"B3CC","4766.1666666666666667","8883.242547151077"
"DSD1","37100.006396588486","166327.87961209"
"FIX1","-13855.956521739130","39387.10775400"
"MMG1","14087.240000000000","81797.86654704"
"L1RJ","700033.000000000000",NULL
"S1J","-2679.5000000000000000","6779.891718477937"
"MMQ6","79700.307692307692","197508.49203321"
"H1AC","-27191.600000000000","152265.14340226"
"JDNJ","9069.3049645390070922","125375.48851305"
"TS20","-10731.579710144928","89484.21483069"
"TSB1","29463.629629629630","260835.65155302"
"SGA1","102764.571428571429","267520.04751910"
"WCE1","-1178.3333333333333333","5909.236943125567"
"EX20","-57361.018018018018","213402.99772334"
"COVS","-184221.629032258065","1109432.68888370"
"K8AA","133.7307692307692308","276.639789532052"
"D63C","-134444.192307692308","326103.88895381"
"LPS5","22787.603773584906","160536.95642872"
"TKY4","14618.113636363636","29319.62023154"
"TDA4","150099.200000000000","307739.32159167"
"LGV","-50298.700000000000","186096.38248669"
