"process_code","average_change","std"
"UCO","1633.8666666666666667","5281.845725375427"
"ENDJ","206171.200000000000","374514.41307783"
"LAK1","54160.120000000000","287665.96045911"
"DNMZ","32146.318729463308","204785.82879266"
"TSG8","-139942.882352941176","383856.95687129"
"TKS","0.00000000000000000000",NULL
"PGLB","-8120.9917355371900826","250918.85570899"
"DNLZ","127479.307692307692","291691.43184945"
"HE70","174289.000000000000","376323.03555489"
"HE10","29659.279069767442","125684.74063464"
"LAP3","22069.800000000000","87554.27054961"
"B1BA","24316.428571428571","173626.90249946"
"YPS6","-196868.000000000000","342488.49538148"
"WJA1","57.1780821917808219","1703.216257738297"
"IHT4","-17821.520833333333","38448.31809397"
"JGB2","1269661.545454545455","902001.27110136"
"TSB2","8501.2361111111111111","247547.87488618"
"L4","22071.464285714286","161869.39660390"
"JDNZ","14243.772321428571","169396.96849673"
"M3","-3559.2255434782608696","70236.11014349"
"WDNZ","44264.737676056338","229877.68546705"
"YPS4","-23020.702127659574","155174.13292417"
"D62H","127458.780346820809","283456.85598380"
"NDA3","243629.000000000000","422115.28720330"
"MG","28378.437500000000","237469.91389073"
"TU","16190333.708860759494","36583304.5729"
"WCX2","35195.357142857143","57500.37215881"
"SRMN","14156.600000000000","217194.25599482"
"TSC2","111176.437500000000","281194.06680167"
"MMTF","29167.000000000000",NULL
"MMR1","38242.063157894737","164127.92875181"
"LAY1","20072.090592334495","143193.32775466"
"CDU1","-257101.750000000000","514870.26834299"
"C100","611008.428571428571","601391.44649397"
"MMJ7","39248.000000000000",NULL
"MLG2","2299.9615384615384615","203818.21294506"
"GIK4","-47334.923809523810","153997.86996353"
"TDUX","9865.0000000000000000",NULL
"SZF","254847.785156250000","4950345.1795"
"TKY3","15360.654545454545","113104.73862019"
"MMG2","-1906.1827586206896552","144476.19826184"
"F2AA","-10961.679425837321","245698.00057859"
"MMQ1","-2862.7826086956521739","34290.99178284"
"PGM1","5131.1000000000000000","342872.99946464"
"MC1M","324757.384615384615","488256.34280994"
"AYT7","474.1111111111111111","5060.841319495318"
"F3BB","3190.7222222222222222","23806.10607239"
"HE51","739992.000000000000",NULL
"TDY1","60151.815789473684","185782.62413178"
"WJS5","-19804.637681159420","185186.07568541"
"C4AF","268868.212121212121","508666.81517828"
"WDNJ","73290.833916083916","233282.17141748"
"SN50","32088.171609331752","139316.57995614"
"SN20","102206.104347826087","389133.03630728"
"COU1","160226.000000000000","362076.37978839"
"MDNJ","27609.058601134216","163044.65307357"
"M2","-7201.9673913043478261","95504.86374624"
"C4AD","615805.000000000000","436904.09922392"
"F3BA","-2592.2500000000000000","4398.991049092962"
"GTU6","-39309.000000000000","0"
"JGB1","375407.117647058824","443971.69123477"
"CO10","35360.240938166311","260917.56883515"
"A1CA","27106.571428571429","69483.66383512"
"MG1","-10234.977401129944","182150.53763062"
"WN10","720.0000000000000000",NULL
"ST","929416.000000000000",NULL
