"process_code","frequency"
NULL,"14514"
"UN20","4826"
"SN50","3398"
"TS10","1256"
"F1BA","1088"
"DNMJ","953"
"DNMZ","916"
"F1AA","899"
"SN30","811"
"SZF","779"
"F3CC","777"
"EX20","666"
"M2","666"
"LDNJ","634"
"WDNJ","614"
"MDNJ","598"
"MMG2","587"
"BDNJ","578"
"LDNZ","576"
"WDNZ","571"
"TKLM","551"
"BDNZ","547"
"MDNZ","537"
"M3","521"
"TKL","520"
"MPGM","476"
"DSD1","474"
"CO10","469"
"F2AA","421"
"LW1","416"
"MMJ1","410"
"M1","405"
"LPGM","388"
"TS30","382"
"GIK4","380"
"SN10","358"
"L5","334"
"LAY1","331"
"LPJ5","331"
"SZC","310"
"MG1","305"
"SZ","302"
"F3CA","295"
"L3","293"
"YPS4","286"
"BB4","279"
"TST1","276"
"TKY1","275"
"SAM3","266"
"BB5","265"
"L4","253"
"SGM2","253"
"DNM9","252"
"DNM1","252"
"EAS0","247"
"SU1A","240"
"DNLJ","237"
"JDNZ","225"
"MMG1","225"
"TSM7","222"
"MMT7","216"
"D62H","207"
"KUT3","205"
"WCE2","202"
"NCLW","201"
"TKB","198"
"D62C","194"
"F3CB","192"
"FIT1","187"
"PG","186"
"NDA3","185"
"JDNJ","180"
"L1","178"
"D62F","175"
"LG","172"
"SGE1","169"
"F7AA","169"
"TSC3","163"
"AH","162"
"WCM3","161"
"DNEJ","161"
"TDUC","160"
"TU","159"
"EX50","154"
"DNEZ","144"
"LB3","144"
"PGLB","143"
"TKY2","142"
"TSH2","139"
"H1AC","133"
"DNTJ","133"
"AHTA","132"
"COVS","127"
"DNGJ","127"
"MG2","127"
"ND5M","122"
"NAN","120"
"SN20","115"
"MCTA","111"
"TSM1","111"
"TK","108"
"TPM","105"
"F3AA","103"
"LB2","102"
"IHT4","99"
"L4RJ","97"
"MMR1","95"
"ASZ","95"
"NDJ1","94"
"DNWZ","93"
"SJTA","90"
"TST2","90"
"L2","89"
"ANM4","88"
"WCE3","87"
"F8AA","87"
"TUFI","87"
"TSH3","87"
"U","86"
"ZZQG","84"
"LAEX","83"
"TSC2","83"
"BHAN","79"
"WJS4","76"
"LAPR","74"
"WJS3","74"
"WJA1","73"
"PIKA","72"
"TSB2","72"
"L4R","72"
"MMX2","72"
"TKC","71"
"TSB4","70"
"MCKS","70"
"TS20","69"
"WJS5","69"
"LPS9","68"
"DSD3","66"
"LAP3","65"
"JGA1","65"
"C3AB","65"
"HE50","65"
"H1AD","63"
"SGK1","63"
"F3AB","61"
"TKY3","59"
"NDR1","58"
"ZZZJ","58"
"SGM1","58"
"ZA40","58"
"MG","57"
"TDA1","54"
"LPS5","53"
"TSC1","53"
"K8AA","52"
"LAR2","51"
"HEU5","51"
"EMD1","51"
"2ENG","50"
"H1AF","48"
"TSJ1","47"
"WCM5","46"
"LAR1","46"
"TDN2","46"
"ALK4","46"
"DS5D","46"
"TKY4","45"
"L1AA","44"
"HE10","43"
"D61F","43"
"UGK1","42"
"MC1M","39"
"TDY1","38"
"HE30","37"
"HET4","37"
"TDUB","37"
"NDM1","37"
"MMN2","37"
"MLG3","36"
"MMR3","34"
"C4AF","34"
"TDB1","33"
"ZZS","33"
"NCB","33"
"MMT9","33"
"CDH1","32"
"TSG1","32"
"D1BA","31"
"DNGZ","31"
"TSG5","31"
"LGV","30"
"SRMN","30"
"MMR6","30"
"AB","30"
"IGY0","30"
"NDC3","29"
"D1AA","29"
"EM24","29"
"GKT5","29"
"LAS","28"
"ZAX1","28"
"H1AA","28"
"TSM2","27"
"TSB1","27"
"MLG2","26"
"D63C","26"
"DNLZ","26"
"MMT6","25"
"LAK1","25"
"LPJ4","24"
"AA","24"
"AA00","24"
"MMX0","23"
"MMQ1","23"
"FIX1","23"
"MMN0","23"
"D1CA","23"
"TSB3","23"
"D61C","23"
"NDT1","22"
"TKY5","22"
"B1BA","21"
"LDGZ","21"
"MLG1","21"
"LPJ9","20"
"C4AA","20"
"B1AA","20"
"NDJ9","20"
"B2AA","20"
"GIK6","19"
"TSG8","19"
"AYT7","19"
"F3BB","19"
"MCKZ","19"
"HE54","19"
"NCBC","19"
"LDGJ","19"
"MMQ9","18"
"TSBL","18"
"Z1AB","18"
"ZZG","18"
"ANT4","17"
"A9AA","17"
"MIX1","17"
"EDHA","17"
"JGB1","17"
"ZZJ","16"
"TSG3","16"
"CBT4","16"
"C4AC","16"
"JGSD","16"
"ENDJ","15"
"LCDG","15"
"UCO","15"
"DNWJ","15"
"FIS0","15"
"TSTS","15"
"AHTR","15"
"WCX2","14"
"C100","14"
