"process_code","average_difference","std_difference"
"UCO","21825.933333333333","34842.04239845"
"ENDJ","-204331.466666666667","375461.37382309"
"LAK1","-78247.160000000000","234301.20007049"
"DNMZ","20037.434497816594","135597.97806556"
"TSG8","14355.388888888889","261162.33304868"
"TKS","-22.0000000000000000",NULL
"PGLB","8543.0406504065040650","224757.72566128"
"DNLZ","-6828.5384615384615385","11661.74566428"
"HE70","4598.6666666666666667","7141.280732473693"
"MDV1","-884489.000000000000","1265663.1556"
"HE10","50557.046511627907","172281.28667026"
"LAP3","2903.1076923076923077","134758.93729280"
"B1BA","30860.761904761905","68014.57669419"
"YPS6","196868.000000000000","342488.49538148"
"WJA1","-14.0958904109589041","304.504614286493"
"IHT4","21348.041666666667","35822.13215553"
"JGB2","-176248.636363636364","303697.72564551"
"TSB2","5582.0555555555555556","14164.00642164"
"L4","408.5138339920948617","84250.13988979"
"JDNZ","-2652.8750000000000000","102898.89899284"
"M3","5167.0589812332439678","58527.58463899"
"WDNZ","8209.9614711033274956","105295.39547535"
"YPS4","37753.397163120567","118918.71202121"
"D62H","-83518.725714285714","245024.99508946"
"NDA3","-7472.3097826086956522","273124.39883620"
"MG","28929.732142857143","146699.17044786"
"TU","-448483.522012578616","1060800.73946987"
"WCX2","2654.6428571428571429","11989.12410098"
"SRMN","21212.966666666667","143029.62238774"
"TSC2","-49285.346938775510","192739.04247340"
"MMTF","-404.5000000000000000","570.635172417544"
"MMR1","5788.4947368421052632","15962.13629311"
"LAY1","-8842.1319444444444444","124952.25409239"
"CDU1","2163.5000000000000000","4893.711781459958"
"C100","-69436.285714285714","199226.27601816"
"MMJ7","-237.0000000000000000",NULL
"SJKZ","-110829.666666666667","46434.98238756"
"MLG2","-337.1538461538461538","203838.96705089"
"GIK4","51753.661904761905","153560.49027366"
"TDUX","135.0000000000000000",NULL
"SZF","-5378.4322916666666667","112820.30117213"
"TKY3","9977.1272727272727273","179134.61906891"
"MMG2","3413.5741056218057922","106986.08807253"
"F2AA","55383.904988123515","192038.67536561"
"MMQ1","9662.0434782608695652","26884.72362358"
"PGM1","77977.500000000000","229430.56441026"
"MC1M","37014.794871794872","165778.41941503"
"AYT7","-474.1111111111111111","5060.841319495318"
"F3BB","588.6315789473684211","6108.283321400778"
"HE51","30008.000000000000",NULL
"TDY1","-941.2894736842105263","7987.953304509318"
"WJS5","45997.376811594203","156117.88702123"
"C4AF","-14134.176470588235","122038.68992237"
"WDNJ","-17512.001745200698","133712.25160893"
"SN50","17988.581422924901","178676.26072283"
"SN20","-5200.7652173913043478","243514.20941574"
"COU1","-1851.3846153846153846","12019.90052329"
"MDNJ","-21294.814744801512","127601.98451359"
"M2","5831.9555214723926380","47852.78289801"
"C4AD","3103.4285714285714286","4779.242124617070"
"F3BA","-5487.2857142857142857","15884.50315784"
"GTU6","39309.000000000000","0"
"JGB1","118571.470588235294","330402.95222484"
"CO10","11234.400852878465","94951.24173716"
"MCKZ","-75022.947368421053","233631.18607314"
"A1CA","-27106.571428571429","69483.66383512"
"AHTR","-405904.666666666667","549583.85134113"
"MG1","13091.582938388626","125143.10316790"
"WN10","9280.0000000000000000",NULL
"ST","-929416.000000000000",NULL
"F4BE","19317.0000000000000000",NULL
"LPSM","409.0000000000000000","196.822254839233"
"HE60","120186.000000000000",NULL
"CDU4","3281.3333333333333333","5843.674044069650"
"FIT1","3991.0909090909090909","133014.65362539"
"GFM2","951.2857142857142857","3636.929781848316"
"TSG1","29928.656250000000","137708.82105080"
"MMJ6","63444.428571428571","200981.55696891"
"MMT7","21328.638888888889","96501.62607884"
"ZAX1","-14314.642857142857","36501.42595308"
"TS30","17091.602094240838","139710.18770280"
"MC2M","19754.333333333333","44254.37598099"
"MCTA","-279872.963963963964","431569.29247979"
"PH02","-33.6666666666666667","9996.504005567813"
"LB3","4319.5034965034965035","85085.96120228"
"B3CB","19643.0000000000000000",NULL
"MMJ5","1798.8000000000000000","508717.49726464"
"MCKS","61371.242857142857","302917.31668059"
"COX1","-1067.6363636363636364","9511.922584553843"
"GIK6","9411.7272727272727273","18799.13520400"
"SN30","-24929.573366214550","239457.59851882"
"ASZ","42439.661971830986","192362.78677228"
"MMX4","9816.0000000000000000","11934.84826045"
"TDN2","26629.891304347826","109546.69390158"
"FIPN","3026.6666666666666667","5417.278406481739"
"LDNJ","-22143.161417322835","112220.49423240"
"WCM3","4539.3664596273291925","93378.00654803"
"LPGF","14594.0000000000000000","20861.06425857"
"DNMJ","-28037.615806805708","161694.37558133"
"TK3","5092.0000000000000000","6494.068678417252"
"EXTD","7760.6153846153846154","23168.51552049"
"PH01","5962.3333333333333333","11536.03681224"
"TSM7","-65673.779279279279","366299.33554219"
"WCL9","3515.8750000000000000","7193.305447974328"
"L5","-9757.6017964071856287","80079.10408831"
"TKB","47214.536082474227","172051.27246887"
"PIKA","-41865.847222222222","270306.01729577"
"MLG3","4123.8055555555555556","8107.455196367792"
"NDC1","51584.272727272727","258416.89479099"
"TST1","42565.503623188406","175467.17475296"
"DNTJ","-6070.9083969465648855","72578.35044753"
"HE50","19737.015384615385","101149.14114741"
"LPS3","-24838.000000000000","35055.52578410"
"HE21","12054.200000000000","14826.24305750"
"NDA5","-266143.272727272727","430623.66503273"
"ST2","-539.0000000000000000",NULL
"C3AB","-645.9384615384615385","4922.404804427796"
"ZZTH","-25481.500000000000","1194823.07690825"
"NAN","21295.500000000000","106119.59286927"
"NDA4","-40898.692307692308","39204.21391123"
"F7AA","-21105.508875739645","149253.80898422"
"WJA2","-9338.0000000000000000",NULL
"LAH","-43649.333333333333","66881.10508457"
"WJS4","82199.960526315789","203138.20750287"
"MMJ1","9652.3097560975609756","127203.20066687"
"TKLM","91302.285451197053","229014.57442081"
"TDUC","19891.581250000000","72441.61160101"
"D61H","-132388.666666666667","353938.82665052"
"ASFN","45.6000000000000000","191.590187640182"
"CBT4","5372.8000000000000000","5321.854958564730"
"KOLG","10823.2222222222222222","12483.63755860"
"EAS0","11081.947368421053","167921.71146928"
"TSC5","-15.5000000000000000","122.3294731452727217"
"DSD3","14082.969696969697","85879.48595005"
"IGY0","319.0333333333333333","189179.59139500"
"HE31","4083.6000000000000000","5468.690592820186"
"H1AF","108068.604166666667","246690.19366712"
"D61F","-5306.9230769230769231","256030.41439872"
"K4AA","-51.7857142857142857","282.048326075086"
"A1AA","-20853.200000000000","57721.44734999"
"B3CC","4766.1666666666666667","8883.242547151077"
"DSD1","96458.194029850746","236802.78799061"
"FIX1","-6068.2608695652173913","44623.17320551"
"MMG1","17248.542222222222","94056.44327847"
"L1RJ","700033.000000000000",NULL
"S1J","-247.3750000000000000","10401.17835272"
"MMQ6","79725.230769230769","197497.49763611"
"H1AC","-27045.123076923077","152297.43503360"
"JDNJ","9688.1347517730496454","125369.43864858"
"TS20","-6950.9275362318840580","90426.86672020"
"TSB1","29463.629629629630","260835.65155302"
"SGA1","102764.571428571429","267520.04751910"
"WCE1","-1179.0000000000000000","5908.997355727958"
"EX20","-39377.019519519520","231543.79735780"
"COVS","-139099.725806451613","1154693.3854"
"K8AA","133.7307692307692308","276.639789532052"
"D63C","-134825.807692307692","325945.27796144"
"LPS5","48291.735849056604","224700.43262395"
